N_ratio,P_ratio,K_ratio,Soil_pH,Temperature_C,Humidity_pct,Rainfall_mm,Yield_ton_per_ha
62.22,93.08,104.11,5.74,28.3,44.9,264.5,135.7
98.15,51.66,106.49,6.52,16.5,75.7,1254.4,167.26
129.95,99.69,26.16,5.66,28.2,68.9,284.9,146.4
45.49,37.08,38.13,6.67,33.6,68.4,364.8,80.11
126.59,46.1,77.02,5.56,16.5,83.6,355.1,142.95
39.2,7.7,12.3,5.71,23.3,44.0,1492.3,77.34
69.33,10.46,21.81,6.6,29.6,52.1,434.2,70.39
95.22,36.09,47.3,6.68,28.4,35.0,1365.8,135.44
63.76,34.24,53.7,5.56,19.5,73.6,1488.2,127.72
42.03,16.26,19.71,6.65,18.3,80.6,698.9,64.93
31.47,11.85,17.08,7.18,30.7,54.4,1020.4,65.04
58.17,47.16,97.47,6.94,34.1,51.4,1212.8,131.8
44.22,52.13,32.05,5.76,30.4,69.5,710.4,92.44
27.22,10.73,16.05,6.68,34.3,34.5,410.4,37.78
92.1,31.18,34.43,6.84,27.1,47.6,763.9,110.63
49.28,54.6,22.82,5.57,33.6,52.0,1203.5,110.33
107.33,21.93,64.95,7.21,28.8,61.1,1215.0,127.89
152.44,25.72,104.34,7.31,33.2,58.6,499.7,164.38
75.82,30.59,20.6,7.2,18.2,42.5,427.5,81.34
145.8,114.97,38.53,7.15,31.3,62.4,1396.7,199.69
39.92,15.28,16.3,6.99,18.9,85.6,257.2,41.08
30.44,26.92,14.74,6.77,15.5,31.6,1155.2,76.19
97.58,26.15,104.46,6.86,25.4,70.8,260.3,120.69
135.66,46.65,54.89,7.11,21.4,67.5,1289.3,165.01
64.63,77.67,13.4,6.82,15.9,85.5,1377.0,124.51
70.23,36.55,14.72,6.16,34.6,68.7,586.6,83.62
134.83,78.6,35.07,6.25,28.3,67.5,296.1,140.92
132.16,85.19,71.75,7.29,33.0,76.2,824.9,171.16
143.74,57.73,96.03,5.53,35.0,46.1,588.0,170.6
57.13,59.98,91.49,6.9,22.8,65.7,742.3,136.95
142.63,56.65,35.72,7.41,20.1,61.2,1064.5,159.08
108.73,60.76,86.11,6.91,18.7,56.3,472.8,140.24
86.54,112.27,50.89,7.49,25.3,34.8,664.0,146.73
113.03,64.96,120.31,6.88,27.1,47.6,1217.3,188.31
65.74,122.78,64.08,5.57,24.4,46.8,1036.9,162.6
103.59,62.54,49.47,7.15,22.7,73.5,624.2,130.4
27.49,28.1,88.51,6.07,18.4,85.2,1063.6,114.1
69.76,64.35,65.39,6.39,23.8,43.8,1194.9,148.03
133.19,112.74,24.17,6.12,16.7,34.5,970.2,176.51
61.3,39.85,25.25,6.04,32.3,90.0,511.3,95.8
23.4,11.69,22.61,6.36,15.9,71.5,200.3,30.14
97.37,2.91,31.52,6.26,22.6,83.2,1243.7,106.79
87.58,35.21,167.32,6.77,17.0,38.6,1269.4,183.06
104.25,80.46,63.79,7.13,30.5,78.0,1106.9,159.07
44.13,15.52,37.15,6.09,21.3,78.8,299.6,68.69
25.35,13.7,13.95,5.93,17.3,39.1,960.8,60.89
125.87,55.39,36.04,6.83,25.6,39.7,1267.3,143.84
78.71,45.45,70.64,6.84,33.3,47.7,706.6,138.23
25.99,25.79,18.93,7.3,33.2,43.0,457.4,46.63
173.26,39.27,78.96,5.53,20.0,88.5,963.9,176.9
48.22,30.95,125.24,7.21,29.4,51.8,1274.2,146.75
75.5,39.48,97.92,6.54,15.6,75.7,263.5,111.82
82.16,88.79,92.45,6.74,17.6,78.3,976.0,167.25
95.2,12.46,26.64,5.68,25.0,53.2,1036.1,100.14
67.72,78.37,43.51,6.37,19.6,71.0,983.1,132.33
135.6,19.67,38.73,5.95,31.0,36.5,1045.0,136.54
181.05,52.13,58.62,6.01,33.6,53.8,1020.8,170.72
60.9,10.18,11.83,6.51,15.1,88.0,369.5,47.8
42.15,113.72,83.83,7.12,19.7,40.1,505.4,143.2
134.38,40.94,18.49,6.99,23.8,53.1,1004.7,133.82
44.97,130.54,85.79,6.68,26.3,77.4,223.0,137.47
148.88,72.15,36.96,6.58,33.3,69.9,1025.2,163.07
32.41,10.76,9.83,6.35,32.8,67.9,1065.0,64.57
86.66,10.44,17.0,7.45,27.7,81.2,510.9,67.79
49.54,33.54,12.12,6.62,20.1,31.7,977.6,92.31
38.94,67.15,59.31,6.01,30.7,76.3,894.3,110.77
154.48,53.59,68.23,5.96,19.1,83.0,538.9,158.29
27.64,14.4,9.25,6.72,34.3,31.0,801.9,64.92
52.92,35.24,83.85,6.55,15.1,63.5,1382.5,129.57
56.32,144.74,70.14,5.52,26.4,50.9,754.6,165.13
146.62,71.47,63.51,7.16,16.8,33.0,1018.8,169.94
124.81,34.92,54.57,6.91,23.2,55.1,246.0,116.43
123.09,49.72,84.59,6.82,27.7,68.6,301.1,138.65
60.89,23.0,47.11,5.64,28.8,85.1,305.7,86.83
54.59,52.43,14.49,6.22,30.7,67.2,1211.7,99.9
8.53,18.32,35.45,7.37,26.9,81.4,655.3,52.47
81.75,53.51,40.54,7.23,20.0,37.3,495.9,102.47
108.25,20.61,35.14,6.07,32.8,42.6,1171.5,125.62
99.59,15.82,27.59,5.81,31.2,88.2,420.9,93.27
44.61,16.59,17.1,6.4,18.2,83.2,520.4,48.41
34.5,34.22,38.98,6.21,31.5,44.1,760.2,83.3
65.9,21.44,13.56,6.86,34.5,67.3,630.9,77.78
91.13,52.21,142.65,7.43,27.7,51.8,961.0,184.4
134.81,69.78,87.01,6.23,20.6,58.1,639.2,162.98
29.22,12.95,8.73,5.62,27.1,81.7,710.8,46.59
43.75,24.54,24.3,7.3,21.9,74.1,1321.8,93.54
174.52,70.27,27.41,5.58,28.5,44.3,1349.9,181.99
24.04,16.44,19.12,7.41,25.9,49.0,1276.0,80.15
182.63,85.75,17.52,6.83,33.6,47.4,1324.3,194.91
42.26,63.47,39.27,7.38,27.4,76.8,940.6,107.59
103.28,44.52,36.91,5.9,19.3,59.4,1040.1,127.08
100.95,73.34,66.7,5.58,29.5,87.0,924.3,153.34
87.37,11.21,12.42,6.48,21.0,79.0,1221.3,96.19
26.4,22.97,25.84,6.4,20.4,42.7,916.3,69.47
156.92,12.4,83.18,6.16,22.8,77.2,344.4,148.25
138.11,65.56,92.54,7.42,15.2,60.4,1252.5,178.53
136.75,42.59,35.36,7.15,34.4,45.2,1188.8,147.8
160.29,53.1,42.91,6.82,25.6,51.8,1266.4,172.29
79.68,112.48,93.14,5.83,30.5,88.3,447.6,159.16
29.38,63.44,14.29,6.97,20.2,59.0,553.1,72.75
62.87,47.58,27.15,6.95,29.9,73.2,584.5,90.11
41.58,26.23,36.98,6.35,26.3,58.6,860.5,89.99
30.4,18.01,16.99,7.35,23.5,52.3,374.0,46.5
91.73,79.11,62.26,5.83,34.4,77.8,701.0,140.86
56.53,12.72,17.15,6.03,24.9,80.9,436.8,65.19
32.37,27.19,13.65,5.63,28.1,34.3,544.2,55.87
58.62,50.64,30.14,7.09,15.3,46.7,1118.3,105.47
37.89,14.66,12.55,6.74,21.0,60.5,1311.3,70.56
24.39,35.89,34.63,6.13,32.8,49.0,229.8,58.88
41.59,11.18,14.73,5.83,30.2,77.0,935.7,67.69
110.63,74.08,84.59,5.58,25.7,36.9,246.9,140.87
130.63,27.32,86.95,5.83,33.0,77.9,310.8,137.87
79.33,122.47,63.1,6.41,24.7,67.1,1116.6,173.45
73.68,135.45,57.97,5.99,26.3,47.4,1156.3,163.54
173.93,76.83,35.34,6.02,22.6,50.7,1258.2,182.05
33.63,11.96,51.11,7.25,27.4,41.0,816.5,91.1
122.6,113.02,39.38,6.53,21.4,45.2,1317.7,180.29
67.54,82.54,31.21,6.96,22.7,73.0,416.9,113.39
27.85,48.55,15.2,5.57,34.3,52.6,524.6,68.26
125.34,39.5,49.06,6.23,17.2,71.2,374.9,119.99
54.56,12.77,64.47,6.46,17.1,60.8,1236.8,111.09
25.93,21.87,13.8,5.87,15.9,38.7,497.3,54.88
41.18,10.46,18.06,5.74,21.4,59.9,402.2,46.73
81.72,58.67,15.51,7.24,23.0,75.4,1010.0,107.36
117.97,70.16,68.47,7.38,16.9,47.9,300.2,133.84
29.46,73.87,24.47,5.66,26.0,68.9,258.4,72.46
43.48,106.66,91.36,6.2,26.7,41.9,338.7,141.93
41.58,5.81,16.5,7.42,30.0,38.1,200.3,44.11
39.65,71.31,37.43,5.67,34.5,51.6,1106.1,120.2
28.72,41.97,11.21,6.79,27.4,53.4,930.9,69.19
101.39,72.65,91.86,7.44,17.2,75.7,472.8,145.56
142.67,75.21,74.12,7.46,16.8,57.6,502.9,162.48
52.9,56.9,21.6,6.44,30.6,34.9,1254.3,110.93
40.94,156.91,99.36,5.83,28.0,68.0,852.4,179.07
162.44,23.3,52.36,5.9,18.2,58.2,1108.1,159.42
29.64,4.93,15.73,7.28,20.1,49.9,788.6,54.9
101.09,36.07,34.14,7.32,30.0,78.1,509.0,109.36
84.78,83.88,89.84,6.72,26.3,39.3,1461.5,181.78
83.27,27.01,73.22,7.03,26.7,84.8,935.3,130.63
70.55,38.94,78.01,6.98,19.2,50.0,370.3,96.4
59.63,77.98,24.29,6.82,27.6,57.7,727.9,108.25
38.0,34.71,76.09,7.15,30.4,85.8,628.1,103.54
24.85,5.15,26.81,6.87,32.7,75.7,478.3,61.91
99.36,70.32,35.72,6.57,29.7,34.5,1413.5,150.54
92.1,17.61,131.99,5.97,26.5,64.7,1345.2,155.52
126.44,47.42,73.64,6.99,28.5,48.6,458.9,150.34
68.31,94.69,43.2,6.45,24.7,60.5,657.8,121.69
60.12,21.74,53.44,6.09,19.5,74.6,1191.0,109.58
22.46,27.14,6.1,7.1,32.6,59.8,471.1,51.19
76.32,69.02,128.56,6.89,25.7,34.3,969.0,171.79
78.78,32.92,45.6,7.37,26.9,61.8,1109.7,106.65
101.43,67.96,30.92,5.83,34.8,31.4,1050.2,136.8
53.08,17.3,28.22,6.8,34.7,50.9,1118.3,81.94
53.82,18.78,12.9,5.99,26.7,58.7,1118.7,83.92
32.59,25.01,14.09,7.31,15.7,68.7,1454.2,78.19
105.75,26.75,117.2,5.7,22.9,60.4,650.4,138.32
94.11,40.19,77.29,6.81,33.7,39.1,1342.2,156.36
88.72,51.37,65.21,7.08,20.8,85.9,228.3,107.32
129.45,65.55,84.8,6.21,35.0,69.0,574.7,164.81
36.26,18.97,34.47,7.41,16.7,49.0,263.3,52.4
58.53,19.34,14.73,7.2,26.4,88.0,1046.6,87.32
41.53,37.14,18.72,6.09,25.3,83.0,331.0,67.82
86.15,50.79,18.86,5.52,20.1,38.6,1299.4,122.09
112.87,50.34,105.39,6.09,34.0,69.3,1040.6,171.78
154.09,73.35,42.96,6.06,27.4,63.6,237.5,145.6
38.91,64.96,93.73,7.28,19.6,41.6,1129.2,130.57
99.02,53.48,62.0,7.43,22.7,44.0,1320.6,148.47
172.86,32.09,69.45,5.64,29.4,63.8,1059.5,177.26
134.15,67.42,4.53,6.44,21.0,49.3,239.7,124.21
43.64,24.92,38.84,6.6,32.6,80.1,1315.3,102.53
118.68,71.06,36.46,5.69,18.3,35.9,1152.2,154.9
67.82,81.4,93.28,6.25,20.3,84.8,692.0,145.53
162.52,28.25,18.03,6.13,17.9,80.4,627.2,129.43
69.7,30.97,17.73,6.57,17.1,74.3,823.8,76.59
81.95,51.18,16.87,6.82,21.0,45.8,1327.2,115.41
107.65,43.2,16.75,6.91,35.0,72.9,527.7,110.15
44.38,27.33,14.59,5.77,16.9,56.3,331.3,60.08
102.53,37.44,23.13,7.13,19.3,68.0,1324.0,122.41
21.52,32.03,36.74,6.86,20.4,48.8,234.2,49.71
50.25,39.58,85.06,7.28,27.4,80.2,1384.3,134.1
47.9,3.27,11.52,6.4,29.9,32.4,597.5,53.08
124.33,79.15,83.62,7.29,30.0,71.5,860.7,180.07
58.27,25.7,27.63,7.23,15.2,79.7,372.0,73.52
102.98,46.26,17.56,6.38,28.0,68.8,1372.9,137.93
35.73,17.93,4.54,6.26,27.6,41.5,1174.8,75.42
45.15,11.83,41.22,7.37,25.4,47.1,1401.4,94.85
111.96,22.86,88.49,6.93,22.6,60.9,1088.2,150.56
49.82,13.57,14.61,7.36,30.9,49.8,440.1,68.56
107.24,87.35,12.41,7.09,21.9,30.3,600.7,123.9
19.56,14.94,15.99,6.72,19.6,32.4,832.9,55.03
61.83,51.16,53.3,5.73,21.2,76.1,989.4,117.05
95.51,78.47,56.32,6.08,23.8,35.0,1404.4,162.13
116.34,51.55,113.7,7.44,19.3,85.7,699.1,161.26
92.4,41.58,39.22,6.14,27.2,56.6,1114.0,132.0
82.06,47.53,130.51,5.69,32.7,75.5,1449.3,175.48
144.53,49.19,56.88,6.92,26.9,37.5,398.1,151.91
72.37,14.64,36.89,6.97,23.9,85.6,1321.5,114.57
146.66,84.67,37.37,6.07,30.9,32.0,746.9,164.19
89.5,14.65,105.95,6.1,30.0,32.5,1152.1,145.64
47.81,6.37,21.82,6.44,22.3,33.3,581.6,56.02
198.58,38.09,48.13,5.54,27.1,36.2,634.2,167.2
41.3,27.65,25.25,7.08,29.6,59.2,235.3,65.48
66.24,65.3,36.06,6.13,19.9,77.3,1462.8,128.24
104.19,49.35,13.05,7.21,22.3,47.1,1257.5,132.82
106.85,24.27,75.18,7.11,17.1,74.7,322.1,121.36
113.35,47.07,55.77,6.82,34.8,76.4,1499.4,159.51
61.09,23.21,23.9,6.15,16.7,84.5,986.5,91.02
77.71,33.75,26.64,6.53,18.4,39.0,1309.8,107.46
32.9,34.96,18.25,6.39,24.6,38.1,286.7,56.06
37.06,24.81,19.63,6.18,32.3,37.3,706.3,79.48
115.66,64.93,75.71,7.2,22.1,51.6,1070.5,170.66
105.72,53.45,78.54,6.47,30.4,59.4,338.4,137.57
92.39,34.74,33.57,7.17,28.5,57.7,835.6,111.46
38.86,5.93,29.2,5.71,27.8,45.4,775.5,65.45
87.73,63.4,11.37,5.78,31.9,67.3,480.9,101.91
40.3,53.6,29.7,7.45,15.3,50.3,590.4,78.7
117.53,21.15,105.82,6.68,33.6,52.0,1457.3,175.95
21.02,26.39,26.79,6.52,31.6,36.3,575.2,65.9
55.59,53.17,54.04,6.55,33.8,65.5,477.5,101.22
120.06,41.39,36.35,5.93,30.9,69.3,897.1,134.33
110.19,44.12,142.09,6.94,32.6,75.5,1072.2,183.25
25.87,18.97,27.56,5.67,19.1,84.2,1142.6,73.96
42.59,14.29,21.63,6.65,21.4,76.0,1180.5,74.71
134.5,76.63,85.87,6.64,21.3,44.1,247.9,159.06
93.02,7.06,51.32,7.33,17.2,44.1,711.9,101.09
110.36,81.66,43.88,6.55,29.6,84.9,1206.1,163.08
89.27,66.5,90.13,5.77,17.7,77.4,1376.3,164.72
58.24,47.09,23.27,6.65,16.1,76.9,982.9,99.39
25.1,20.05,58.46,5.68,30.5,73.2,268.0,61.16
64.89,12.73,41.38,5.91,33.1,46.0,715.6,89.17
87.32,107.17,46.61,5.56,30.3,80.8,296.5,146.56
59.76,149.39,50.95,6.53,31.5,38.6,1173.1,169.69
134.77,60.46,29.68,5.67,26.9,51.0,282.6,119.64
46.63,15.02,98.65,6.44,32.8,50.8,441.5,104.44
58.73,24.15,32.72,7.37,24.9,63.6,742.0,86.47
69.68,43.84,42.79,6.94,34.8,57.8,801.4,111.44
112.79,52.75,113.07,5.65,17.1,57.6,728.4,170.93
124.5,68.06,73.24,5.95,31.2,63.2,802.4,159.66
90.24,14.08,26.48,6.85,27.8,54.9,1127.2,101.37
74.02,13.03,44.95,7.29,26.6,45.0,680.0,94.44
157.6,33.23,54.17,5.57,29.5,69.8,912.1,160.96
82.24,37.79,36.57,7.12,31.8,77.4,594.4,103.68
143.27,29.26,20.68,6.62,32.3,58.7,659.7,122.49
99.14,35.33,21.13,6.59,18.5,69.0,997.9,113.05
81.86,6.13,22.6,7.42,18.9,62.1,837.6,87.88
60.72,30.22,6.26,7.0,15.3,33.5,1139.9,78.62
62.27,6.72,15.91,7.2,17.6,55.4,928.7,68.88
24.03,23.71,5.16,6.21,20.3,30.6,1244.6,67.4
65.99,34.37,19.84,6.61,29.4,69.7,776.4,92.72
34.57,16.51,41.81,6.73,24.5,60.5,838.3,87.36
53.26,17.35,43.88,6.14,30.2,37.6,1071.0,94.85
35.63,23.61,9.76,6.64,24.7,62.5,487.6,55.29
73.77,23.83,37.8,5.97,26.1,83.9,701.7,90.65
113.41,23.91,42.68,5.79,17.2,50.4,1012.3,127.09
106.77,43.36,135.98,6.25,30.5,88.9,237.5,150.79
33.26,92.29,11.25,6.98,30.2,87.6,768.1,97.43
36.26,14.19,7.35,7.33,21.2,77.1,978.5,57.74
35.62,36.64,68.34,6.42,21.6,78.8,1457.6,107.79
114.63,81.68,57.99,6.79,19.4,54.6,1340.1,184.7
59.6,62.43,12.97,5.71,31.3,54.2,565.0,94.72
51.52,48.77,22.61,7.31,29.9,87.3,859.4,97.26
30.23,90.96,158.51,6.64,27.2,52.0,273.3,158.03
50.91,12.93,60.46,7.06,19.8,35.8,513.0,88.63
175.24,62.52,54.84,7.09,18.4,39.2,1207.3,187.01
168.74,44.71,44.76,6.01,16.0,72.6,360.3,147.45
